Actor,count
Donald Faison,6
Chris Bauer,6
Hunter Parrish,6
Melanie Griffith,6
Curtis Armstrong,6
Jaime King,6
Rory Culkin,6
Xander Berkeley,6
Alice Braga,6
Brian Blessed,6
Kelsey Grammer,6
Teri Garr,6
Jon Gries,6
Ted Danson,6
Henry Cavill,6
Christopher Lambert,6
Alyson Hannigan,6
Kurtwood Smith,6
Vinessa Shaw,6
Noah Taylor,6
America Ferrera,6
Alan Ruck,6
Alex Pettyfer,6
M. Emmet Walsh,6
Robert Wagner,6
Ioan Gruffudd,6
William Hootkins,6
Linda Cardellini,5
Embeth Davidtz,5
Eva Green,5
Mary Elizabeth Mastrantonio,5
Yaphet Kotto,5
Kevin Corrigan,5
Matthew Perry,5
Austin Pendleton,5
Tate Donovan,5
Mark Webber,5
Brian Doyle-Murray,5
Celia Imrie,5
John Savage,5
Nia Vardalos,5
John Doman,5
Stacy Keach,5
Verne Troyer,5
Rob Paulsen,5
Stephen McHattie,5
Wanda Sykes,5
Elaine Hendrix,5
Jeff Garlin,5
Scott Porter,5
Muse Watson,5
Peter Gallagher,5
Noel Gugliemi,5
Michael Gough,5
Noel Fisher,5
Armando Riesco,5
Dean Stockwell,5
Louis Lombardi,5
Sid Caesar,5
Michael Rispoli,5
Alexandra Maria Lara,5
Beau Bridges,5
Ruby Dee,5
Margot Kidder,5
Paula Garcés,5
Alex Borstein,5
Brenda Blethyn,5
Kathleen Quinlan,5
Warren Beatty,5
Zachary Gordon,5
David Keith,5
Gretchen Mol,5
Geraldine Chaplin,5
George Kennedy,5
Sydney Pollack,5
Seymour Cassel,5
Rupert Grint,5
Saffron Burrows,5
Ashley Scott,5
Brittany Daniel,5
Wilford Brimley,5
Leighton Meester,5
Lochlyn Munro,5
Jack Davenport,5
Jason Mewes,5
Raymond Cruz,5
Ramon Rodriguez,5
Dom DeLuise,5
Catherine McCormack,5
Dianne Wiest,5
Daniel Stern,5
Mary Kay Place,5
Jeremy Northam,5
Willie Garson,5
Cameron Bright,5
Elizabeth Perkins,5
M.C. Gainey,5
Jane Fonda,5
Daniel Mays,5
Rami Malek,5
Mary McCormack,5
Kristin Davis,5
Li Gong,5
Gaby Hoffmann,5
Sarah Gadon,5
Anne Bancroft,5
Joe Lo Truglio,5
Spencer Wilding,5
Gregg Henry,5
Bailee Madison,5
Lisa Ann Walter,5
James Brolin,5
Joseph Gilgun,5
Roger Rees,5
Bradley Whitford,5
James Mason,5
Eddie Izzard,5
Lukas Haas,5
Nonso Anozie,5
Brian Geraghty,5
Ken Marino,5
Samantha Morton,5
Dan Fogler,5
Robert Shaw,5
Nadine Velazquez,5
Justin Theroux,5
Michael O'Neill,5
Devin Ratray,5
Miranda Otto,5
Jeanne Tripplehorn,5
Dane Cook,5
Rafe Spall,5
David Costabile,5
Josh Charles,5
50 Cent,5
Kelli Garner,5
Brad Garrett,5
Timothy Hutton,5
Rachael Harris,5
James Corden,5
Fionnula Flanagan,5
Isabelle Huppert,5
Natasha Henstridge,5
Armin Mueller-Stahl,5
Laura Harring,5
Richard E. Grant,5
Joe Don Baker,5
Chi McBride,5
Joey Lauren Adams,5
Robert Davi,5
Tia Carrere,5
Oprah Winfrey,5
Judy Davis,5
Garry Shandling,5
Patrick Fugit,5
Seth MacFarlane,5
Alison Brie,5
Denis Leary,5
Laurence Olivier,5
Clarence Williams III,5
Rory Kinnear,5
Sid Haig,5
Mia Kirshner,5
Christina Milian,5
Rachel Blanchard,5
Archie Panjabi,5
Bai Ling,5
J.T. Walsh,5
Estella Warren,5
Tim Meadows,5
Matt Walsh,5
Shawnee Smith,5
Don Johnson,5
Rebecca De Mornay,5
Jean Simmons,5
Elizabeth Daily,5
Chris Noth,5
Julie Benz,5
Rupert Graves,5
Jesse McCartney,5
Peter Mensah,4
Tony Nappo,4
Megan Mullally,4
Mireille Enos,4
Elizabeth McGovern,4
Maximilian Schell,4
Spencer Tracy,4
Joely Richardson,4
Esai Morales,4
Gregory Smith,4
Bella Thorne,4
Lucas Grabeel,4
Hill Harper,4
Sophia Myles,4
Kate Burton,4
Daryl Sabara,4
Eileen Brennan,4
Collette Wolfe,4
Ari Graynor,4
Amy Sedaris,4
Topher Grace,4
Jürgen Prochnow,4
Bobb'e J. Thompson,4
Zack Ward,4
David Patrick Kelly,4
Bernard Hill,4
Vincent Schiavelli,4
Sam Claflin,4
Brian Van Holt,4
Tim Guinee,4
Shawn Roberts,4
LeVar Burton,4
Jason Patric,4
Roy Scheider,4
Bingbing Li,4
Gary Farmer,4
Montgomery Clift,4
Kane Hodder,4
Chris Elliott,4
Sean Harris,4
Thomas Mitchell,4
John Amos,4
Busy Philipps,4
Benedict Wong,4
Larenz Tate,4
Laz Alonso,4
Jason Scott Lee,4
Nick Cannon,4
Marley Shelton,4
Theo James,4
Rae Dawn Chong,4
Mackenzie Foy,4
Julian Glover,4
Lily Tomlin,4
Aasif Mandvi,4
Lew Temple,4
Bruce Davison,4
Damon Wayans Jr.,4
Jason Alexander,4
Demián Bichir,4
Jack O'Connell,4
Cree Summer,4
Harvey Fierstein,4
S. Epatha Merkerson,4
Marshall Bell,4
Katy Mixon,4
Fred Gwynne,4
Ted Raimi,4
Jurnee Smollett-Bell,4
Peter Greene,4
Mia Farrow,4
Alden Ehrenreich,4
Richard Tyson,4
Meat Loaf,4
Laura Ramsey,4
Kevin Grevioux,4
Tamala Jones,4
Dexter Fletcher,4
Tom McCarthy,4
Jim Gaffigan,4
Cécile De France,4
Kenny Baker,4
Matt Bomer,4
Tom Selleck,4
Robert Ri'chard,4
Aidan Turner,4
John Fiedler,4
Lee Marvin,4
Ingrid Bolsø Berdal,4
Ming-Na Wen,4
Abigail Spencer,4
Maury Chaykin,4
Khandi Alexander,4
Kirby Heyborne,4
Jeff Kober,4
Mary McDonnell,4
George C. Scott,4
Jack McBrayer,4
Geoff Stults,4
Jennifer Esposito,4
Tasha Smith,4
Richard Burton,4
Derek Luke,4
Debbie Reynolds,4
Eartha Kitt,4
Andrea Martin,4
Nicholas Braun,4
Alun Armstrong,4
Fiona Shaw,4
Shelley Duvall,4
Isabella Rossellini,4
Kim Dickens,4
Mark Duplass,4
Alyson Stoner,4
Terry Pheto,4
Crystal Lowe,4
Agnes Bruckner,4
Sean Hayes,4
Michael Imperioli,4
Joel McHale,4
Cathy Moriarty,4
Shea Whigham,4
Michael Moore,4
Jake Weber,4
Sharlto Copley,4
Michiel Huisman,4
David Kelly,4
Jonathan Frakes,4
Michael Stuhlbarg,4
Omar Benson Miller,4
Joel David Moore,4
William Smith,4
David Paymer,4
Paul Schneider,4
Jason Cope,4
Christopher Meloni,4
Samantha Mathis,4
Tony Chiu Wai Leung,4
Lou Taylor Pucci,4
Jerry Stiller,4
Quentin Tarantino,4
Bonnie Hunt,4
Tchéky Karyo,4
Anthony LaPaglia,4
Alexa Davalos,4
Corbin Bleu,4
Charles Napier,4
Quinton Aaron,4
Leon,4
Trevor Morgan,4
Sean Patrick Thomas,4
Dania Ramirez,4
James D'Arcy,4
Martin Donovan,4
Dana Ivey,4
Stephen Dillane,4
Peter Fonda,4
Karen Allen,4
Cas Anvar,4
Penelope Wilton,4
Mackenzie Crook,4
Anne Archer,4
Karl Malden,4
Robert Picardo,4
Valeria Golino,4
Lynn Redgrave,4
Ariana Richards,4
Dwight Yoakam,4
Janet Leigh,4
Holland Taylor,4
Elden Henson,4
Jimmy Fallon,4
Rick Gonzalez,4
Haley Bennett,4
Sarah Roemer,4
Olivia Munn,4
Adrian Martinez,4
Dylan Minnette,4
Taran Killam,4
Yaya DaCosta,4
Aaron Yoo,4
D.B. Sweeney,4
Max Ryan,4
Sandra Ellis Lafferty,4
Jonathan Winters,4
Jason Robards,4
Zach Gilford,4
Randall Park,4
Matt Craven,4
Lupe Ontiveros,4
Nicholas Turturro,4
Barbara Hershey,4
Billy Boyd,4
Siobhan Fallon Hogan,4
Tom Everett Scott,4
Harvey Korman,4
Rod Steiger,4
Dany Boon,4
Luke Grimes,4
Cara Delevingne,4
Judd Hirsch,4
Sean Pertwee,4
Felicity Huffman,4
Dagmara Dominczyk,4
Jack Warden,4
Henry Thomas,4
Burt Young,4
Jenifer Lewis,4
Ike Barinholtz,4
Ryan O'Neal,4
Richard Coyle,4
Emma Watson,4
Bridgette Wilson-Sampras,4
Harland Williams,4
Kris Marshall,4
Dee Wallace,4
Sam Waterston,4
Jason Ritter,4
Nancy O'Dell,4
Sam Trammell,4
Illeana Douglas,4
Mitch Pileggi,3
Terry Kinney,3
Mike Tyson,3
Craig Roberts,3
Irene Bedard,3
Chelcie Ross,3
Campbell Scott,3
Royal Dano,3
Michael Cudlitz,3
Lindsay Sloane,3
Peter Capaldi,3
David Hyde Pierce,3
Chris Pontius,3
AJ Michalka,3
Adam Brown,3
Maurice LaMarche,3
Derek Mears,3
Temuera Morrison,3
Paris Hilton,3
Kevin Dillon,3
Richard T. Jones,3
Mia Wasikowska,3
Ray Walston,3
Emmanuelle Vaugier,3
Gedde Watanabe,3
Kodi Smit-McPhee,3
Simon Callow,3
Tzi Ma,3
Lillete Dubey,3
Mindy Kaling,3
Ben Gazzara,3
Danny Dyer,3
Tim McInnerny,3
Andy Richter,3
Carrie Preston,3
Lauren German,3
Mara Wilson,3
Reggie Lee,3
Joan Chen,3
Wood Harris,3
Ken Howard,3
Bojana Novakovic,3
Raven-Symoné,3
Jacinda Barrett,3
Thomas Ian Nicholas,3
Ayelet Zurer,3
Claude Rains,3
Rupert Evans,3
Curtiss Cook,3
Drew Waters,3
Brendan Sexton III,3
Troy Evans,3
Bill Nunn,3
Clu Gulager,3
Essence Atkins,3
Jeremy Irvine,3
Natascha McElhone,3
Marc John Jefferies,3
John de Lancie,3
Brian Thompson,3
Omari Hardwick,3
Dylan Moran,3
Dan Byrd,3
Brad Renfro,3
Alexander Gould,3
B.J. Novak,3
Madison Pettis,3
David Hewlett,3
Adam Garcia,3
Eric Dane,3
Dan Hedaya,3
Wendell Pierce,3
Spencer Breslin,3
Ron Eldard,3
Enrico Colantoni,3
John Belushi,3
Lesley Manville,3
Nimrat Kaur,3
Alanna Ubach,3
Spencer Treat Clark,3
